Russia,65,1,Europe
Brazil,2,1,South America
Iran,34,3,Asia
Japan,44,4,Asia
Mexico,16,2,North America
Belgium,5,1,Europe
South Korea,62,4,Asia
Saudi Arabia,63,4,Asia
Germany,1,1,Europe
England,12,2,Europe
Spain,8,2,Europe
Nigeria,41,4,Africa
Costa Rica,22,3,North America
Poland,6,1,Europe
Egypt,30,3,Africa
Iceland,21,3,Europe
Serbia,38,4,Europe
Portugal,3,1,Europe
France,7,1,Europe
Uruguay,17,2,South America
Argentina,4,1,South America
Colombia,13,2,South America
Panama,49,4,North America
Senegal,32,3,Africa
Morocco,48,4,Africa
Tunisia,28,3,Africa
Switzerland,11,2,Europe
Croatia,18,2,Europe
Sweden,25,3,Europe
Denmark,19,3,Europe
Australia,43,4,Asia
Peru,10,2,South America